id_perkara;jenis_perkara;tingkat;usia_tersangka;jenis_kelamin;domisili;pendidikan;jumlah_bb;nilai_kerugian;pasal_utama;residivis;tgl_mulai;tgl_selesai;lama_proses_hari;status_akhir
PIDUM-100182;Penganiayaan;Penuntutan;33.0;L;DKI;SMA;2;153004;UU_23_2004_44;Tidak;11/6/2024;1/12/2025;67;P21
  PIDUM-100183  ;Perjudian;Prapenuntutan;nan;L;Sumut;SMA;3;191650;UU_23_2004_44;Tidak;9/8/2024;11/30/2024;83;Tahap II
PIDUM-100184;Pencurian;Penuntutan;22.0;L;Sumut;SMA;5;89565;UU_35_2009_112;Ya;2/5/2024;5/24/2024;109;Tahap II
  PIDUM-100185  ;Pencurian;Penuntutan;22.0;L;Jatim;SMA;2;301516;KUHP_362;Tidak;5/9/2024;8/11/2024;94;Tahap II
PIDUM-100186;Pencurian;Prapenuntutan;31.0;L;Sumut;S1;2;44042;KUHP_303;Ya;7/22/2024;10/11/2024;81;SP3
PIDUM-100187;KDRT;Prapenuntutan;25.0;L;Sulsel;SMP;2;196038;KUHP_362;Tidak;4/7/2024;7/5/2024;89;SP3
PIDUM-100188;Narkotika;Penuntutan;35.0;L;Jateng;SMA;4;285379;KUHP_351;Tidak;3/31/2024;9/18/2024;171;P21
PIDUM-100189;Narkotika;Penuntutan;15.0;L;Sulsel;SMA;4;133429;KUHP_351;Tidak;2/3/2024;4/15/2024;72;Tahap II
PIDUM-100190;Perjudian;Penuntutan;23.0;L;DIY;SMA;1;235830;UU_35_2009_112;Tidak;1/12/2024;4/4/2024;83;Tahap II
PIDUM-100191;Perjudian;Prapenuntutan;20.0;L;Jateng;SMP;1;60395;KUHP_351;Tidak;9/30/2024;1/25/2025;117;Tahap II
PIDUM-100192;Penganiayaan;Penuntutan;28.0;L;Jateng;SMA;1;61955;KUHP_362;Tidak;10/3/2024;1/30/2025;119;SP3
PIDUM-100193;PENIPUAN;Prapenuntutan;26.0;L;Sumut;S1;0;206223;UU_35_2009_112;Tidak;4/30/2024;8/30/2024;122;RJ
PIDUM-100194;Penipuan;Prapenuntutan;38.0;L;DKI;SMA;5;320792;UU_23_2004_44;Tidak;2/19/2024;5/29/2024;100;Tahap II
PIDUM-100195;Penipuan;Penuntutan;15.0;L;Sumut;S1;0;24962;UU_35_2009_112;Tidak;2/21/2024;3/21/2024;29;Tahap II
PIDUM-100196;Pencurian;Prapenuntutan;31.0;L;DKI;S1;3;274311;UU_23_2004_44;Tidak;6/4/2024;10/22/2024;140;P21
PIDUM-100197;Perjudian;Prapenuntutan;36.0;L;DKI;SD;4;94541;KUHP_362;Tidak;9/29/2024;10/28/2024;29;Tahap II
PIDUM-100198;narkotika;Prapenuntutan;47.0;L;Sulsel;SMP;3;134214;KUHP_362;Tidak;9/18/2024;12/14/2024;87;SP3
PIDUM-100199;Penganiayaan;Prapenuntutan;26.0;L;DKI;S1;1;42637;UU_35_2009_112;Tidak;6/30/2024;8/13/2024;44;P21
PIDUM-100200;Narkotika;Prapenuntutan;33.0;L;Banten;S1;3;69451;UU_35_2009_112;Tidak;5/3/2024;7/14/2024;72;P21
PIDUM-100201;Pencurian;Prapenuntutan;15.0;P;Jabar;SD;2;427677;KUHP_378;Tidak;1/11/2024;4/8/2024;88;SP3
PIDUM-100202;Pencurian;Penuntutan;15.0;P;Sumut;SD;2;168192;KUHP_303;Tidak;1/22/2024;4/18/2024;87;SP3
PIDUM-100203;Penipuan;Prapenuntutan;38.0;L;Banten;SMP;1;110992;KUHP_303;Tidak;10/1/2024;12/31/2024;91;SP3
PIDUM-100204;Pencurian;Prapenuntutan;30.0;L;Jateng;S1;2;144858;UU_23_2004_44;Tidak;4/21/2024;9/7/2024;139;P21
PIDUM-100205;Narkotika;Prapenuntutan;41.0;L;Banten;SMP;3;265457;UU_35_2009_112;Tidak;1/2/2024;4/4/2024;93;Tahap II
PIDUM-100206;Narkotika;Prapenuntutan;18.0;P;Jatim;SMA;3;252835;KUHP_362;Ya;1/13/2024;3/18/2024;65;P21
PIDUM-100207;Pencurian;Penuntutan;35.0;P;DIY;S1;3;150990;UU_35_2009_112;Tidak;5/10/2024;8/31/2024;113;SP3
PIDUM-100208;KDRT;Penuntutan;nan;L;DKI;SD;1;485511;KUHP_362;Tidak;1/1/2024;5/2/2024;122;P21
PIDUM-100209;Penganiayaan;Prapenuntutan;34.0;L;Sumut;SMA;5;429536;KUHP_351;Tidak;1/22/2024;2/16/2024;25;P21
PIDUM-100210;Penganiayaan;PENUNTUTAN;33.0;L;Jatim;SMP;3;47695770;KUHP_362;Tidak;4/5/2024;7/12/2024;98;Tahap II
PIDUM-100211;Penganiayaan;Penuntutan;31.0;L;Sumut;S1;2;171890;UU_35_2009_112;Tidak;5/21/2024;9/1/2024;103;Tahap II
PIDUM-100212;Penganiayaan;Penuntutan;16.0;L;Sulsel;SMP;2;314054;KUHP_362;Tidak;5/6/2024;7/8/2024;63;P21
PIDUM-100213;Pencurian;Prapenuntutan;43.0;L;DIY;SMA;5;222852;KUHP_362;Tidak;1/31/2024;6/9/2024;130;RJ
PIDUM-100214;penipuan;PRAPENUNTUTAN;25.0;P;Jatim;SMA;3;470146;KUHP_378;Tidak;5/29/2024;8/5/2024;68;P21
pidum-100215;KDRT;Prapenuntutan;35.0;L;Sumut;SMP;4;400136;KUHP_378;Ya;2/2/2024;4/22/2024;80;RJ
PIDUM-100216;Penganiayaan;Penuntutan;16.0;L;Jateng;SD;3;58791;KUHP_378;Tidak;2/17/2024;4/25/2024;68;P21
PIDUM-100217;Penipuan;Prapenuntutan;nan;P;DKI;SMA;5;54942;KUHP_378;Tidak;6/13/2024;8/27/2024;75;P21
  PIDUM-100218  ;Penipuan;penuntutan;43.0;P;Jatim;SMP;2;80720;KUHP_362;Tidak;5/5/2024;6/5/2024;31;SP3
PIDUM-100219;Perjudian;Prapenuntutan;27.0;P;Jateng;D3;7;431981;KUHP_351;Ya;8/15/2024;9/1/2024;17;P21
PIDUM-100220;Narkotika;Prapenuntutan;44.0;L;DKI;D3;4;33647;KUHP_362;Ya;5/8/2024;9/23/2024;138;Tahap II
PIDUM-100221;Penganiayaan;Penuntutan;30.0;L;Jabar;SMA;90;241532;KUHP_303;Ya;4/10/2024;5/21/2024;41;SP3
PIDUM-100222;PENGANIAYAAN;Prapenuntutan;15.0;L;Jateng;SMA;1;233875;KUHP_303;Ya;1/12/2024;2/16/2024;35;Tahap II
PIDUM-100223;Penipuan;Prapenuntutan;39.0;P;Banten;SMA;2;520553;KUHP_362;Tidak;2/25/2024;3/1/2024;5;Tahap II
PIDUM-100224;Perjudian;Penuntutan;25.0;P;Sumut;D3;2;194918;KUHP_351;Tidak;2/6/2024;3/26/2024;49;SP3
PIDUM-100225;Pencurian;Penuntutan;37.0;L;Sulsel;SMA;3;42480;UU_23_2004_44;Tidak;2/3/2024;2/25/2024;22;SP3
pidum-100226;Penganiayaan;Penuntutan;31.0;L;DKI;SMP;3;62357;KUHP_378;Tidak;3/9/2025;7/27/2025;140;P21
PIDUM-100227;  KDRT  ;Penuntutan;17.0;L;Jatim;SMP;2;49911;KUHP_303;Tidak;2/29/2024;6/23/2024;115;P21
PIDUM-100228;Perjudian;Penuntutan;32.0;P;DIY;SMA;3;95040;KUHP_351;Tidak;9/24/2024;11/10/2024;47;Tahap II
PIDUM-100229;KDRT;Penuntutan;50.0;L;Jatim;SMA;3;135550;KUHP_362;Tidak;4/29/2024;10/11/2024;165;SP3
PIDUM-100230;penipuan;Prapenuntutan;35.0;L;Banten;SMA;2;50744;KUHP_303;Tidak;7/9/2024;10/31/2024;114;P21
PIDUM-100231;Penganiayaan;Prapenuntutan;30.0;L;Sumut;SD;4;708327;KUHP_378;Tidak;3/24/2024;5/25/2024;62;Tahap II
PIDUM-100232;Narkotika;Prapenuntutan;590.0;L;Banten;SMA;2;43248;KUHP_378;Tidak;4/13/2024;4/18/2024;5;P21
PIDUM-100233;Penipuan;Prapenuntutan;32.0;L;Jatim;SMP;6;625372;UU_35_2009_112;Ya;3/22/2024;9/4/2024;166;Tahap II
PIDUM-100234;Pencurian;Penuntutan;32.0;L;Sulsel;SMP;8;532406;UU_35_2009_112;Tidak;1/27/2024;2/15/2024;19;SP3
PIDUM-100235;Narkotika;Penuntutan;21.0;P;Sumut;SMA;2;399633;KUHP_378;Tidak;6/2/2024;6/11/2024;9;P21
PIDUM-100236;Penipuan;Penuntutan;33.0;P;DIY;SMP;5;81327;KUHP_351;Tidak;2/9/2024;6/3/2024;115;P21
PIDUM-100237;  Pencurian  ;Prapenuntutan;40.0;L;DKI;SMA;2;229223;KUHP_351;Tidak;1/3/2024;6/23/2024;172;SP3
pidum-100238;  Penipuan  ;Penuntutan;23.0;L;Sumut;SMA;5;45371;UU_23_2004_44;Tidak;5/4/2024;9/11/2024;130;P21
PIDUM-100239;Narkotika;Prapenuntutan;43.0;L;Jateng;SMA;3;404702;KUHP_351;Ya;1/24/2024;4/30/2024;97;Tahap II
PIDUM-100240;KDRT;Penuntutan;30.0;L;Sumut;SMA;2;151148;UU_35_2009_112;Tidak;12/4/2024;3/12/2025;98;SP3
PIDUM-100241;Pencurian;Penuntutan;23.0;L;Banten;SMP;3;108085;KUHP_378;Ya;1/4/2025;4/23/2025;109;Tahap II
PIDUM-100242;Penganiayaan;Prapenuntutan;39.0;P;Banten;SMP;1;47870;UU_23_2004_44;Tidak;10/22/2024;2/4/2025;105;Tahap II
PIDUM-100243;NARKOTIKA;Prapenuntutan;28.0;L;Banten;S1;3;13663;UU_35_2009_112;Tidak;2/25/2024;5/21/2024;86;SP3
PIDUM-100244;Penganiayaan;Prapenuntutan;37.0;L;DIY;SMA;0;57610;UU_35_2009_112;Tidak;1/2/2024;3/21/2024;79;P21
pidum-100245;Penipuan;Penuntutan;28.0;P;Sumut;SMA;1;495240;KUHP_303;Tidak;11/12/2024;1/23/2025;72;Tahap II
PIDUM-100246;Penipuan;Penuntutan;30.0;P;Sulsel;SD;2;108789;KUHP_303;Tidak;3/8/2024;4/21/2024;44;P21
PIDUM-100247;Pencurian;Penuntutan;35.0;L;Sulsel;SMA;2;137402;KUHP_378;Ya;2/12/2025;4/16/2025;63;Tahap II
PIDUM-100248;Narkotika;Prapenuntutan;33.0;L;Sumut;SMA;0;313499;UU_35_2009_112;Tidak;2/1/2025;2/8/2025;7;P21
PIDUM-100249;Narkotika;Prapenuntutan;15.0;L;Sulsel;SMA;0;990206;KUHP_351;Ya;8/18/2024;10/28/2024;71;SP3
PIDUM-100250;Penganiayaan;Penuntutan;20.0;L;Jabar;SMA;3;612316;KUHP_378;Tidak;2/11/2024;3/17/2024;35;SP3
PIDUM-100251;KDRT;Penuntutan;39.0;L;DIY;SMP;3;61553;UU_23_2004_44;Ya;2/28/2024;3/29/2024;30;RJ
PIDUM-100252;Perjudian;Prapenuntutan;29.0;L;DKI;SMP;1;23328;UU_23_2004_44;Ya;8/16/2024;11/6/2024;82;Tahap II
PIDUM-100253;Penipuan;prapenuntutan;26.0;P;DKI;D3;3;1723063;KUHP_362;Tidak;2/15/2024;6/24/2024;130;Tahap II
PIDUM-100254;Penipuan;Penuntutan;18.0;L;DKI;S1;5;1573781;UU_35_2009_112;Tidak;1/23/2024;5/13/2024;111;P21
  PIDUM-100255  ;Narkotika;Penuntutan;21.0;L;DKI;SMP;4;196507;UU_35_2009_112;Ya;4/7/2024;4/19/2024;12;P21
PIDUM-100256;KDRT;Prapenuntutan;15.0;L;DKI;SMA;0;45684;UU_23_2004_44;Tidak;11/26/2024;12/31/2024;35;RJ
PIDUM-100257;Penipuan;Prapenuntutan;nan;L;Sulsel;SMP;1;426439;KUHP_378;Tidak;5/22/2024;9/11/2024;112;P21
PIDUM-100258;Penipuan;Prapenuntutan;25.0;P;Jatim;SD;3;146095;UU_35_2009_112;Tidak;4/11/2024;5/16/2024;35;Tahap II
PIDUM-100259;Perjudian;Penuntutan;22.0;L;Banten;SMP;3;145367;KUHP_362;Ya;1/13/2024;3/19/2024;66;P21
PIDUM-100260;penganiayaan;Penuntutan;30.0;L;DIY;SMP;2;398100;UU_35_2009_112;Tidak;4/24/2024;7/30/2024;97;SP3
PIDUM-100261;Perjudian;Penuntutan;34.0;L;Jatim;SMA;7;227379;KUHP_362;Tidak;7/7/2025;8/12/2025;36;Tahap II
PIDUM-100262;  Pencurian  ;Prapenuntutan;49.0;L;DIY;SMA;1;49721;KUHP_303;Ya;1/19/2024;4/7/2024;79;Tahap II
PIDUM-100263;Penganiayaan;Prapenuntutan;17.0;L;Jabar;SMP;4;117625;KUHP_303;Tidak;3/28/2024;4/18/2024;21;Tahap II
PIDUM-100264;Penganiayaan;Prapenuntutan;41.0;L;Sumut;SD;2;315259;UU_35_2009_112;Tidak;9/8/2024;10/28/2024;50;Tahap II
pidum-100265;KDRT;Prapenuntutan;39.0;L;Jateng;D3;3;271102;UU_35_2009_112;Tidak;6/11/2024;9/6/2024;87;Tahap II
PIDUM-100266;Perjudian;Penuntutan;23.0;L;Banten;SMP;1;211507;UU_23_2004_44;Tidak;5/23/2024;6/3/2024;11;Tahap II
PIDUM-100267;Penipuan;Prapenuntutan;32.0;L;Jabar;SMA;6;413917;KUHP_351;Tidak;5/25/2024;8/25/2024;92;Tahap II
PIDUM-100268;Penipuan;Prapenuntutan;26.0;P;Jatim;SMP;5;113355;KUHP_351;Tidak;2/23/2024;5/7/2024;74;SP3
PIDUM-100269;narkotika;Prapenuntutan;32.0;P;Jateng;SMA;2;194593;UU_23_2004_44;Tidak;2/11/2024;5/18/2024;97;SP3
PIDUM-100270;KDRT;Prapenuntutan;44.0;L;Sumut;SMP;4;5565;KUHP_303;Tidak;7/17/2024;10/8/2024;83;Tahap II
PIDUM-100271;Narkotika;Prapenuntutan;36.0;L;Jabar;SD;0;103813;KUHP_303;Tidak;7/18/2024;11/24/2024;129;Tahap II
PIDUM-100272;Penganiayaan;Prapenuntutan;590.0;L;Sumut;SMP;3;349375;KUHP_362;Tidak;8/30/2024;11/18/2024;80;P21
PIDUM-100273;Pencurian;Penuntutan;27.0;L;Sumut;SMP;2;110150;KUHP_362;Tidak;10/20/2024;12/16/2024;57;P21
PIDUM-100274;Penipuan;Prapenuntutan;17.0;L;Sulsel;SMA;4;102106;KUHP_362;Tidak;3/26/2024;6/13/2024;79;RJ
PIDUM-100275;Penipuan;Prapenuntutan;29.0;P;DIY;SMA;2;57442;KUHP_351;Ya;3/24/2024;6/28/2024;96;Tahap II
PIDUM-100276;penganiayaan;Penuntutan;41.0;P;Jateng;SMP;3;443905;KUHP_303;Tidak;7/11/2024;9/25/2024;76;SP3
PIDUM-100277;Pencurian;Penuntutan;17.0;L;DIY;SD;6;281662;KUHP_351;Tidak;5/5/2024;7/20/2024;76;P21
PIDUM-100278;Perjudian;Penuntutan;21.0;L;Sumut;SMA;2;371541;KUHP_378;Tidak;5/25/2024;7/10/2024;46;Tahap II
PIDUM-100279;Pencurian;Penuntutan;32.0;P;Sulsel;SMA;3;28963;KUHP_351;Tidak;7/9/2024;8/26/2024;2020;RJ
  PIDUM-100280  ;Penipuan;PRAPENUNTUTAN;22.0;L;Jabar;S1;2;138628;UU_35_2009_112;Tidak;9/21/2024;10/9/2024;18;Tahap II
PIDUM-100281;KDRT;Prapenuntutan;23.0;L;Sumut;SMA;5;122993;UU_23_2004_44;Ya;2/19/2024;7/12/2024;144;Tahap II
PIDUM-100282;  nan  ;Prapenuntutan;27.0;L;Jatim;SMA;3;122937;KUHP_351;Tidak;2/26/2024;3/22/2024;25;P21
pidum-100283;Penganiayaan;Penuntutan;18.0;L;Sumut;SMA;3;87901;KUHP_351;Tidak;1/12/2024;2/28/2024;47;Tahap II
PIDUM-100284;Penipuan;Penuntutan;22.0;L;DIY;S1;4;115139;KUHP_351;Tidak;4/13/2024;5/29/2024;46;P21
PIDUM-100285;Perjudian;Prapenuntutan;37.0;L;Jateng;D3;3;380653;KUHP_362;Tidak;1/5/2024;4/24/2024;110;Tahap II
PIDUM-100286;NARKOTIKA;Prapenuntutan;19.0;L;Jabar;SMP;8;24032;UU_35_2009_112;Tidak;3/16/2024;5/18/2024;63;P21
PIDUM-100287;KDRT;Penuntutan;16.0;L;DIY;SMP;4;962505;KUHP_351;Tidak;4/3/2024;8/5/2024;124;SP3
PIDUM-100288;Pencurian;Prapenuntutan;25.0;L;Sumut;SMP;1;264036;KUHP_378;Tidak;2/10/2024;3/29/2024;48;Tahap II
PIDUM-100289;NARKOTIKA;Penuntutan;37.0;P;Jatim;SMA;3;156008;KUHP_303;Tidak;4/17/2024;7/12/2024;86;P21
PIDUM-100290;Penipuan;Penuntutan;29.0;L;Banten;SMA;0;403057;UU_35_2009_112;Tidak;1/4/2024;2/14/2024;41;P21
PIDUM-100291;PERJUDIAN;Penuntutan;26.0;L;Sulsel;SMA;2;38107;KUHP_362;Tidak;1/5/2024;6/13/2024;160;SP3
PIDUM-100292;Pencurian;Penuntutan;31.0;P;Jatim;SD;2;83725;KUHP_378;Tidak;7/26/2024;8/22/2024;27;SP3
PIDUM-100293;Perjudian;Penuntutan;15.0;L;Sumut;SMA;1;144195;KUHP_362;Tidak;2/23/2024;5/20/2024;87;P21
PIDUM-100294;Narkotika;Prapenuntutan;35.0;L;Jatim;D3;3;637659;KUHP_378;Tidak;1/17/2024;4/26/2024;100;Tahap II
PIDUM-100295;Penganiayaan;Penuntutan;34.0;P;Sulsel;SMP;3;155360;KUHP_378;Tidak;3/29/2024;6/28/2024;91;RJ
  PIDUM-100296  ;;Penuntutan;27.0;L;Banten;SMA;3;255264;KUHP_362;Ya;6/25/2024;8/31/2024;67;Tahap II
PIDUM-100297;Perjudian;Prapenuntutan;40.0;L;Jatim;SMA;0;90257;KUHP_303;Tidak;1/30/2024;4/8/2024;69;Tahap II
PIDUM-100298;Pencurian;Prapenuntutan;20.0;P;Banten;S1;3;264829;UU_23_2004_44;Tidak;4/27/2024;7/12/2024;76;SP3
PIDUM-100299;Penganiayaan;Penuntutan;41.0;L;Sumut;S1;5;870862;KUHP_303;Tidak;1/11/2024;3/20/2024;69;Tahap II
PIDUM-100300;penganiayaan;Prapenuntutan;32.0;L;Banten;SMA;2;440438;KUHP_351;Ya;1/7/2024;4/29/2024;113;Tahap II
PIDUM-100301;Perjudian;Penuntutan;27.0;P;DIY;SMA;1;150023;KUHP_378;Tidak;3/31/2024;9/10/2024;163;SP3
PIDUM-100302;Penipuan;Prapenuntutan;30.0;L;DIY;S1;2;319812;UU_23_2004_44;Tidak;4/3/2024;5/25/2024;52;Tahap II
PIDUM-100303;Penipuan;Prapenuntutan;30.0;L;Banten;SMA;3;289965;KUHP_351;Tidak;5/1/2024;5/21/2024;20;Tahap II
PIDUM-100304;Penganiayaan;Prapenuntutan;41.0;P;Jabar;SMP;5;270110;KUHP_303;Tidak;6/4/2024;8/14/2024;71;SP3
PIDUM-100305;Narkotika;Penuntutan;21.0;L;Jateng;SMA;1;494821;KUHP_362;Tidak;3/22/2025;9/16/2025;178;SP3
PIDUM-100306;Narkotika;Prapenuntutan;24.0;L;Jabar;SMP;0;491136;KUHP_362;Tidak;3/28/2024;5/9/2024;42;P21
PIDUM-100307;Perjudian;Prapenuntutan;40.0;L;Banten;SMA;2;143320;KUHP_303;Tidak;2/16/2024;7/5/2024;140;Tahap II
PIDUM-100308;KDRT;Penuntutan;25.0;L;Jateng;S1;4;309241;KUHP_303;Tidak;7/9/2024;11/28/2024;142;Tahap II
PIDUM-100309;Pencurian;Prapenuntutan;39.0;L;DIY;SMA;1;110957;KUHP_303;Tidak;2/7/2024;3/30/2024;52;P21
PIDUM-100310;Penipuan;Prapenuntutan;46.0;L;Jateng;SMA;5;64661;UU_23_2004_44;Tidak;3/10/2024;6/15/2024;97;Tahap II
PIDUM-100311;Pencurian;Prapenuntutan;27.0;L;Banten;SMP;2;124306;KUHP_362;Tidak;1/10/2024;5/29/2024;140;RJ
  PIDUM-100312  ;Narkotika;Prapenuntutan;37.0;P;DIY;SMA;1;150801;KUHP_351;Tidak;1/4/2024;3/3/2024;59;P21
  PIDUM-100313;Penganiayaan;Penuntutan;20.0;L;Jateng;SMP;2;30897;UU_23_2004_44;Tidak;1/29/2025;4/5/2025;66;SP3
PIDUM-100314;Penganiayaan;prapenuntutan;37.0;L;Jateng;SMP;5;384743;KUHP_362;Tidak;8/4/2024;9/24/2024;51;Tahap II
PIDUM-100315;Penganiayaan;Prapenuntutan;32.0;L;Jabar;SMA;0;10225;KUHP_378;Tidak;5/22/2024;6/25/2024;34;Tahap II
PIDUM-100316;Narkotika;Penuntutan;35.0;L;Jateng;SMP;4;2457897;UU_35_2009_112;Ya;3/4/2024;4/22/2024;49;P21
PIDUM-100317;;Penuntutan;25.0;L;Sumut;SMA;3;730788;KUHP_362;Tidak;1/23/2024;2/18/2024;26;Tahap II
PIDUM-100318;penipuan;prapenuntutan;16.0;P;Banten;SMA;1;125365;KUHP_351;Tidak;1/21/2024;4/6/2024;76;SP3
PIDUM-100319;Narkotika;Prapenuntutan;35.0;L;DKI;S1;2;164296;UU_35_2009_112;Tidak;2/4/2024;3/19/2024;44;P21
PIDUM-100320;Pencurian;Penuntutan;15.0;L;DKI;SMA;4;47695770;KUHP_303;Ya;4/5/2024;6/28/2024;84;Tahap II
PIDUM-100321;Penipuan;Prapenuntutan;28.0;L;DKI;SD;4;90295;KUHP_378;Tidak;5/30/2024;6/11/2024;12;SP3
  pidum-100322  ;Penganiayaan;Prapenuntutan;39.0;L;Banten;SD;1;197327;KUHP_378;Tidak;5/9/2024;8/5/2024;88;P21
PIDUM-100323;Narkotika;Penuntutan;32.0;L;DKI;SMA;3;140927;UU_35_2009_112;Tidak;2/9/2024;5/27/2024;108;Tahap II
PIDUM-100324;Penipuan;Penuntutan;48.0;L;Jabar;SMA;5;148112;KUHP_351;Tidak;1/6/2025;1/11/2025;2020;Tahap II
PIDUM-100325;Penganiayaan;Penuntutan;40.0;P;Banten;SMA;1;195137;KUHP_362;Ya;6/9/2024;9/6/2024;89;Tahap II
PIDUM-100326;;Penuntutan;nan;L;Sumut;SMA;3;43759;UU_35_2009_112;Tidak;4/6/2024;8/8/2024;124;P21
PIDUM-100327;Penganiayaan;Penuntutan;31.0;L;DIY;SD;2;169324;KUHP_362;Tidak;4/23/2024;5/19/2024;26;P21
PIDUM-100328;KDRT;Prapenuntutan;30.0;L;Sumut;SMA;2;191654;KUHP_362;Tidak;3/6/2024;7/25/2024;141;RJ
PIDUM-100329;PENIPUAN;Penuntutan;nan;L;Banten;SMA;1;185136;UU_35_2009_112;Tidak;2/4/2024;5/5/2024;91;P21
PIDUM-100330;  Penipuan  ;Prapenuntutan;22.0;L;Banten;SMP;2;131159;UU_35_2009_112;Tidak;2/22/2024;4/8/2024;2020;Tahap II
PIDUM-100331;Narkotika;Prapenuntutan;25.0;L;Jateng;SD;3;507807;KUHP_362;Ya;6/19/2024;8/30/2024;72;Tahap II
PIDUM-100332;Pencurian;Penuntutan;15.0;P;Jateng;SMP;5;114273;KUHP_378;Tidak;1/2/2024;4/8/2024;97;Tahap II
PIDUM-100333;NARKOTIKA;Penuntutan;31.0;L;Jateng;SD;5;204296;UU_35_2009_112;Ya;1/15/2024;4/2/2024;78;P21
PIDUM-100334;Penipuan;Prapenuntutan;28.0;L;Sulsel;SMA;2;595583;KUHP_362;Tidak;1/6/2024;4/11/2024;96;Tahap II
PIDUM-100335;Pencurian;Penuntutan;15.0;L;Sulsel;SMP;3;150335;UU_23_2004_44;Tidak;1/5/2024;2/12/2024;38;Tahap II
PIDUM-100336;Penganiayaan;Prapenuntutan;nan;L;Jatim;SMP;0;201685;KUHP_362;Tidak;8/20/2024;11/9/2024;81;SP3
PIDUM-100337;Penganiayaan;Prapenuntutan;37.0;L;Sulsel;SMP;4;147800;KUHP_303;Tidak;5/25/2024;6/12/2024;18;SP3
  PIDUM-100338  ;Narkotika;Penuntutan;33.0;L;Jabar;S1;2;560940;KUHP_362;Ya;3/18/2024;5/27/2024;2020;SP3
PIDUM-100339;KDRT;Penuntutan;28.0;L;Banten;S1;6;125778;UU_23_2004_44;Tidak;1/13/2024;2/20/2024;38;RJ
PIDUM-100340;;Penuntutan;36.0;L;Sumut;SMP;2;587337;KUHP_362;Tidak;3/22/2024;5/6/2024;45;P21
PIDUM-100341;Narkotika;Prapenuntutan;37.0;L;Banten;SMP;4;146739;KUHP_303;Tidak;3/17/2024;7/19/2024;124;Tahap II
PIDUM-100342;Pencurian;Penuntutan;33.0;L;Jateng;SMP;4;68908;KUHP_351;Tidak;1/23/2024;5/20/2024;118;Tahap II
PIDUM-100343;KDRT;Prapenuntutan;23.0;P;Banten;SMA;2;321056;KUHP_378;Tidak;3/9/2024;6/16/2024;99;RJ
PIDUM-100344;Pencurian;Prapenuntutan;33.0;L;DIY;SD;4;120010;UU_35_2009_112;Tidak;3/2/2024;4/2/2024;31;SP3
PIDUM-100345;Narkotika;PRAPENUNTUTAN;41.0;L;Sulsel;SMA;1;302701;KUHP_362;Ya;4/24/2024;6/25/2024;62;P21
PIDUM-100346;Penipuan;Prapenuntutan;25.0;P;Banten;SMA;1;10621;KUHP_303;Tidak;4/30/2024;8/31/2024;123;Tahap II
PIDUM-100347;Penipuan;Penuntutan;49.0;L;Sumut;S1;3;163604;KUHP_362;Tidak;1/6/2024;3/26/2024;80;P21
PIDUM-100348;Narkotika;Prapenuntutan;26.0;P;DKI;SMP;4;102784;UU_23_2004_44;Tidak;2/26/2024;8/11/2024;167;Tahap II
PIDUM-100349;Penganiayaan;Prapenuntutan;31.0;L;DIY;D3;2;56203;KUHP_362;Tidak;4/27/2024;7/26/2024;90;Tahap II
PIDUM-100350;Penganiayaan;Penuntutan;24.0;P;DIY;D3;2;93597;UU_35_2009_112;Ya;3/24/2024;6/14/2024;82;RJ
PIDUM-100351;penganiayaan;PENUNTUTAN;33.0;L;Banten;SMP;4;91701;KUHP_378;Tidak;8/20/2024;10/21/2024;62;Tahap II
PIDUM-100352;Pencurian;Prapenuntutan;15.0;L;Jatim;SMA;2;155129;UU_35_2009_112;Ya;5/8/2024;7/27/2024;80;RJ
  PIDUM-100353  ;Narkotika;Prapenuntutan;26.0;P;Jateng;SMP;1;41467;KUHP_362;Tidak;1/22/2024;3/30/2024;68;P21
PIDUM-100354;Penganiayaan;Prapenuntutan;21.0;L;Jabar;SMP;3;223300;KUHP_303;Tidak;1/9/2024;4/21/2024;103;Tahap II
PIDUM-100355;Penganiayaan;Prapenuntutan;590.0;L;Jabar;SMP;0;638077;KUHP_303;Tidak;5/3/2024;8/24/2024;113;Tahap II
PIDUM-100356;Penipuan;Prapenuntutan;39.0;L;DKI;SMA;1;215545;UU_23_2004_44;Ya;1/4/2024;2/16/2024;43;P21
  PIDUM-100357  ;KDRT;Penuntutan;36.0;L;Jabar;SMA;3;365487;KUHP_351;Ya;4/15/2024;5/6/2024;21;RJ
PIDUM-100358;;Penuntutan;15.0;L;Jabar;S1;3;486290;UU_35_2009_112;Ya;12/4/2024;12/9/2024;5;P21
PIDUM-100359;Pencurian;Prapenuntutan;49.0;L;Jateng;SMP;2;560446;KUHP_351;Tidak;4/12/2024;7/16/2024;95;Tahap II
PIDUM-100360;Pencurian;Prapenuntutan;33.0;L;Sulsel;S1;0;1056147;KUHP_351;Tidak;2/28/2024;3/29/2024;30;Tahap II
PIDUM-100361;kdrt;Prapenuntutan;24.0;P;Jateng;SMP;4;98794;KUHP_303;Tidak;5/3/2024;5/8/2024;5;RJ
PIDUM-100362;;prapenuntutan;32.0;L;Jatim;D3;1;79341;KUHP_351;Tidak;3/14/2024;6/12/2024;90;P21
  PIDUM-100363  ;Pencurian;Penuntutan;32.0;L;Sumut;SMP;3;356277;UU_35_2009_112;Tidak;4/4/2024;9/25/2024;174;P21
